"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Particuliere huishoudens/Particuliere huishoudens/Totaal aantal particuliere huishoudens (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Woningvoorraad/Woningen naar eigendom/Koopwoningen (%)";"Landbouw/Graasdieren/Rundvee (aantal)"
"2020";"Gooise Meren";58055;25914;2,21;63,5;1644
"2020";"Goor";;;;;
"2020";"Gorinchem";37022;16666;2,19;48,6;968
"2020";"Gorssel";;;;;
"2020";"Gouda";73427;33475;2,16;55,4;13
"2020";"Graafstroom";;;;;
"2020";"Graft-De Rijp";;;;;
"2020";"Gramsbergen";;;;;
"2020";"Grave";12436;5318;2,23;68;3480
"2020";"'s-Graveland";;;;;
"2020";"'s-Gravendeel";;;;;
"2020";"'s-Gravenhage";545838;268306;2;42;53
"2020";"'s-Gravenmoer";;;;;
"2020";"'s-Gravenzande";;;;;
"2020";"Groenlo";;;;;
"2020";"Groesbeek";;;;;
"2020";"Groningen";232874;136383;1,69;41,2;12813
"2020";"Grootegast";;;;;
"2020";"Grubbenvorst";;;;;
"2020";"Gulpen";;;;;
"2020";"Gulpen-Wittem";14171;6546;2,13;66,6;6495
"2020";"Haaksbergen";24311;10217;2,34;68,6;18042
"2020";"Vught";14370;5912;2,35;72,3;5984
"2020";"Haarlem";162902;78171;2,06;53;155
"2020";"Haarlemmerliede en Spaarnwoude";;;;;
"2020";"Haarlemmermeer";156002;65732;2,35;67,2;2723
"2020";"Haelen";;;;;
"2020";"Halderberge";30284;13103;2,28;64,8;6676
"2020";"Halsteren";;;;;
"2020";"Den Ham";;;;;
"2020";"Hardenberg";60948;24358;2,45;70,1;78848
"2020";"Harderwijk";48414;20531;2,32;59,1;8472
"2020";"Hardinxveld-Giessendam";18295;7110;2,54;65,2;2574
"2020";"Haren";;;;;
"2020";"Harenkarspel";;;;;
"2020";"Harlingen";15722;7484;2,07;55,3;2342
"2020";"Harmelen";;;;;
"2020";"Hasselt";;;;;
"2020";"Hattem";12209;5084;2,38;66,3;1797
"2020";"Havelte";;;;;
"2020";"Hedel";;;;;
"2020";"Heel";;;;;
"2020";"Heemskerk";39182;17342;2,23;59,7;619
"2020";"Heemstede";27234;12019;2,21;65;69
"2020";"Heerde";18589;7670;2,39;68,9;6574
"2020";"Heerenveen";50493;22895;2,18;60;36479
"2020";"Heerewaarden";;;;;
"2020";"Heerhugowaard";57587;23770;2,37;69,5;1919
"2020";"Heerjansdam";;;;;
"2020";"Heerlen";87086;45247;1,89;46,9;351
"2020";"Heesch";;;;;
"2020";"Heeze";;;;;
"2020";"Heeze-Leende";16152;6791;2,32;77;7131
"2020";"Heiloo";23968;10770;2,2;72,6;1205
"2020";"Heino";;;;;
"2020";"Helden";;;;;
"2020";"Den Helder";56296;27069;2,02;54,2;56
"2020";"Hellendoorn";35916;14721;2,4;72,3;19326
"2020";"Hellevoetsluis";40142;18035;2,21;65,9;803
"2020";"Helmond";92423;41077;2,24;53,9;1461
"2020";"Helvoirt";;;;;
"2020";"Hendrik-Ido-Ambacht";31202;12197;2,54;71,3;0
"2020";"Hengelo (Gld.)";;;;;
"2020";"Hengelo (O.)";81140;38016;2,11;56,4;4466
"2020";"'s-Hertogenbosch";155111;73408;2,08;52,4;11396
"2020";"Heteren";;;;;
"2020";"Heumen";16454;7145;2,27;71,2;3918
"2020";"Heusden";44692;19095;2,32;67,6;6654
"2020";"Heythuysen";;;;;
"2020";"Hillegom";22209;9904;2,21;66,6;140
"2020";"Hilvarenbeek";15518;6540;2,35;75,8;18632
"2020";"Hilversum";90831;42697;2,1;53,9;756
"2020";"Hoeksche Waard";87401;37135;2,32;70,2;4508
"2020";"Hoevelaken";;;;;
"2020";"Hoeven";;;;;
"2020";"Hof van Twente";35017;14937;2,31;67,9;42387
"2020";"Het Hogeland";47801;21434;2,19;67;35352
"2020";"Hollands Kroon";48432;21042;2,28;69,9;20405
"2020";"Holten";;;;;
"2020";"Hontenisse";;;;;
"2020";"Hooge en Lage Mierde";;;;;
"2020";"Hooge en Lage Zwaluwe";;;;;
"2020";"Hoogeloon, Hapert en Casteren";;;;;
"2020";"Hoogeveen";55699;24351;2,23;61,4;18098
"2020";"Hoogezand-Sappemeer";;;;;
"2020";"Hoorn";73261;33162;2,19;61;0
"2020";"Horst";;;;;
"2020";"Horst aan de Maas";42429;18092;2,31;76;11371
"2020";"Houten";50146;20265;2,46;67,8;5411
"2020";"Huijbergen";;;;;
"2020";"Huissen";;;;;
"2020";"Huizen";41273;18470;2,2;58,3;16
"2020";"Hulst";27556;12668;2,13;72,6;9023
"2020";"Hummelo en Keppel";;;;;
"2020";"Hunsel";;;;;
"2020";"IJsselham";;;;;
"2020";"IJsselmuiden";;;;;
"2020";"IJsselstein";34109;14374;2,35;64,2;2586
"2020";"Jacobswoude";;;;;
"2020";"Kaag en Braassem";27297;11671;2,32;65,6;10211
"2020";"Kampen";54319;22217;2,41;63,5;32746
"2020";"Kapelle";12695;5271;2,39;76;845
"2020";"Katwijk";65753;26615;2,43;64,8;239
"2020";"Kerkrade";45749;22967;1,95;52,9;250
"2020";"Kerkwijk";;;;;
"2020";"Kessel";;;;;
"2020";"Kesteren";;;;;
"2020";"Klundert";;;;;
"2020";"Koggenland";22749;9318;2,41;78,2;11181
"2020";"Kollumerland en Nieuwkruisland";;;;;
"2020";"Korendijk";;;;;
"2020";"Krimpen aan den IJssel";29526;12420;2,34;59,2;0
"2020";"Krimpenerwaard";56319;23726;2,35;65,9;23575
"2020";"Laarbeek";22523;9492;2,35;69,4;8180
"2020";"Landerd";15730;6400;2,41;73,8;12160
"2020";"Landgraaf";37445;17697;2,07;62,6;383
"2020";"Landsmeer";11491;4855;2,35;66,4;1636
"2020";"Langbroek";;;;;
"2020";"Langedijk";28163;11727;2,38;74,2;867
"2020";"Lansingerland";62384;23841;2,59;73,3;1378
"2020";"Laren (NH.)";11280;4996;2,17;67;0
"2020";"Leek";;;;;
"2020";"Leende";;;;;
"2020";"Leerdam";;;;;
"2020";"Leersum";;;;;
"2020";"Leeuwarden";124084;63338;1,93;51,2;38245
"2020";"Leeuwarderadeel";;;;;
"2020";"Leiden";125099;68699;1,81;42,9;179
"2020";"Leiderdorp";27056;12124;2,21;65,2;687
"2020";"Leidschendam";;;;;
"2020";"Leidschendam-Voorburg";76534;36723;2,06;57,7;2442
"2020";"Lelystad";78598;34338;2,26;63,5;7146
"2020";"Lemsterland";;;;;
"2020";"Leudal";35879;15765;2,22;77,5;10408
"2020";"Leusden";30401;13040;2,3;70,7;5077
"2020";"Lichtenvoorde";;;;;
"2020";"Liemeer";;;;;
"2020";"Liempde";;;;;
"2020";"Lienden";;;;;
"2020";"De Lier";;;;;
"2020";"Lieshout";;;;;
"2020";"Liesveld";;;;;
"2020";"Limmen";;;;;
"2020";"Lingewaal";;;;;
"2020";"Lingewaard";46601;19606;2,35;72,1;3313
"2020";"Lisse";22955;10227;2,23;63,5;557
"2020";"Lith";;;;;
"2020";"Littenseradiel";;;;;
"2020";"Lochem";33729;14787;2,23;70,5;28099
"2020";"Loenen";;;;;
"2020";"Loon op Zand";23408;10127;2,28;63,3;2801
"2020";"Loosdrecht";;;;;
"2020";"Lopik";14467;5647;2,54;74,2;13410
"2020";"Loppersum";9537;4297;2,2;64,9;13377
"2020";"Losser";22683;9392;2,36;68,9;17699
"2020";"Luyksgestel";;;;;
"2020";"Maarheeze";;;;;
"2020";"Maarn";;;;;
"2020";"Maarssen";;;;;
"2020";"Maartensdijk";;;;;
"2020";"Maasbracht";;;;;
"2020";"Maasbree";;;;;
"2020";"Maasdonk";;;;;
"2020";"Maasdriel";25030;10591;2,34;70,9;9665
"2020";"Maasgouw";23965;10648;2,17;74,6;1668
"2020";"Maasland";;;;;
"2020";"Maassluis";33213;14982;2,2;52,9;108
"2020";"Maastricht";121575;68903;1,73;39,4;412
"2020";"Made";;;;;
"2020";"Made en Drimmelen";;;;;
"2020";"Margraten";;;;;
"2020";"Mariekerke";;;;;
"2020";"Markelo";;;;;
"2020";"De Marne";;;;;
"2020";"Marum";;;;;
"2020";"Maurik";;;;;
"2020";"Medemblik";45101;19044;2,33;69,4;10388
"2020";"Meerlo-Wanssum";;;;;
"2020";"Meerssen";18828;8493;2,18;72,3;753
"2020";"Meierijstad";81194;34619;2,32;69,7;41772
"2020";"Meijel";;;;;
"2020";"Menaldumadeel";;;;;
"2020";"Menameradiel";;;;;
"2020";"Menterwolde";;;;;
"2020";"Meppel";33920;15424;2,16;57,7;9001
"2020";"Middelburg (Z.)";48822;23052;2,08;60,8;1539
"2020";"Middelharnis";;;;;
"2020";"Midden-Delfland";19341;7832;2,45;73,6;7163
"2020";"Midden-Drenthe";33185;14485;2,26;69,5;35020
"2020";"Midden-Groningen";60797;27754;2,15;62,1;18138
"2020";"Middenschouwen";;;;;
"2020";"Middenveld";;;;;
"2020";"Mierlo";;;;;
"2020";"Mill en Sint Hubert";10939;4561;2,37;72,5;6799
"2020";"Millingen aan de Rijn";;;;;
"2020";"Moerdijk";37129;16337;2,25;65,9;4835
"2020";"Moergestel";;;;;
"2020";"Molenlanden";43909;16795;2,59;68,9;38899
"2020";"Molenwaard";;;;;
"2020";"Monster";;;;;
"2020";"Montferland";36011;15677;2,27;65,7;14141
"2020";"Montfoort";13917;5648;2,45;74,3;7664
"2020";"Mook en Middelaar";7847;3545;2,2;74,8;1028
"2020";"Moordrecht";;;;;
"2020";"Muiden";;;;;
"2020";"Naaldwijk";;;;;
"2020";"Naarden";;;;;
"2020";"Neder-Betuwe";24339;9146;2,63;65,2;9783
"2020";"Nederhorst den Berg";;;;;
"2020";"Nederlek";;;;;
"2020";"Nederweert";17019;7308;2,3;70,7;17652
"2020";"Neede";;;;;
"2020";"Neerijnen";;;;;
"2020";"Niedorp";;;;;
"2020";"Nieuwegein";63462;29328;2,15;59,9;4
"2020";"Nieuwerkerk aan den IJssel";;;;;
"2020";"Nieuw-Ginneken";;;;;
"2020";"Nieuwkoop";28811;11808;2,39;72,4;9960
"2020";"Nieuw-Lekkerland";;;;;
"2020";"Nieuwleusen";;;;;
"2020";"Nieuw-Vossemeer";;;;;
"2020";"Nijefurd";;;;;
"2020";"Nijeveen";;;;;
"2020";"Nijkerk";43171;17448;2,45;69,9;14344
"2020";"Nijmegen";177659;96644;1,81;43,5;867
"2020";"Nissewaard";85219;38586;2,19;58;3446
"2020";"Noardeast-Fryslân";45228;19440;2,29;66,4;51531
"2020";"Noord-Beveland";7392;3588;2,03;69,3;2937
"2020";"Noordenveld";31253;13911;2,21;70,8;22798
"2020";"Noorder-Koggenland";;;;;
"2020";"Noordoostpolder";47291;19422;2,37;65,4;15463
"2020";"Noordwijk";43508;19680;2,16;63;379
"2020";"Noordwijkerhout";;;;;
"2020";"Nootdorp";;;;;
"2020";"Norg";;;;;
"2020";"Nuenen, Gerwen en Nederwetten";23383;10144;2,29;75,1;2106
"2020";"Nunspeet";27851;10934;2,49;65,3;26042
"2020";"Nuth";;;;;
"2020";"Obdam";;;;;
"2020";"Odoorn";;;;;
"2020";"Oegstgeest";24840;10773;2,27;71,3;209
"2020";"Oirschot";18714;7714;2,39;76,3;11257
"2020";"Oisterwijk";26245;11257;2,26;68,3;5174
"2020";"Oldambt";38209;18111;2,07;63,7;11806
"2020";"Oldebroek";23646;9157;2,55;68,4;18321
"2020";"Oldenzaal";31836;14035;2,24;61,8;540
"2020";"Olst";;;;;
"2020";"Olst-Wijhe";18252;7567;2,36;68,9;20135
"2020";"Ommen";18009;7467;2,37;70,2;21622
"2020";"Onderbanken";;;;;
"2020";"Oost Gelre";29627;12428;2,33;74,4;28771
"2020";"Oost-, West- en Middelbeers";;;;;
"2020";"Oostburg";;;;;
"2020";"Oosterhesselen";;;;;
"2020";"Oosterhout";55982;25055;2,22;60,4;5913
"2020";"Oostflakkee";;;;;
"2020";"Ooststellingwerf";25469;11255;2,21;67,2;36421
"2020";"Oostzaan";9735;4084;2,36;67,3;327
"2020";"Ootmarsum";;;;;
"2020";"Opmeer";11836;5018;2,34;76,1;7044
"2020";"Opsterland";29733;12582;2,31;70,2;34702
"2020";"Oss";91915;40557;2,25;63,1;35405
"2020";"Ossendrecht";;;;;
"2020";"Oud en Nieuw Gastel";;;;;
"2020";"Oud-Beijerland";;;;;
"2020";"Oude IJsselstreek";39388;17079;2,26;65,6;18966
"2020";"Oudenbosch";;;;;
"2020";"Ouder-Amstel";14026;6314;2,2;54,9;2987
"2020";"Ouderkerk";;;;;
"2020";"Oudewater";10230;4265;2,37;68,7;8765
"2020";"Overbetuwe";47906;19734;2,4;68;9075
"2020";"Papendrecht";32136;14076;2,27;64,7;24
"2020";"Peel en Maas";43425;18251;2,34;72,7;10452
"2020";"Peize";;;;;
"2020";"Pekela";12196;5547;2,18;63,2;3087
"2020";"Pijnacker";;;;;
"2020";"Pijnacker-Nootdorp";55308;21511;2,54;71,2;1126
"2020";"Prinsenbeek";;;;;
"2020";"Purmerend";81249;36654;2,19;59,2;260
"2020";"Putte";;;;;
"2020";"Putten";24112;9606;2,48;67,2;51120
"2020";"Raalte";37712;15670;2,37;69;36226
"2020";"Raamsdonk";;;;;
"2020";"Ravenstein";;;;;
"2020";"Reeuwijk";;;;;
"2020";"Reiderland";;;;;
"2020";"Reimerswaal";22730;9060;2,49;68,9;4056
"2020";"Renkum";31419;14566;2,09;62,7;700
"2020";"Renswoude";5444;2089;2,6;73,6;16991
"2020";"Reusel";;;;;
"2020";"Reusel-De Mierden";13112;5491;2,37;77,8;9759
"2020";"Rheden";43761;21128;2,02;54,9;3242
"2020";"Rhenen";20119;8286;2,39;64,8;7799
"2020";"Ridderkerk";46189;20803;2,2;56,7;14
"2020";"Riethoven";;;;;
"2020";"Rijnsburg";;;;;
"2020";"Rijnwaarden";;;;;
"2020";"Rijnwoude";;;;;
"2020";"Rijsbergen";;;;;
"2020";"Rijssen";;;;;
"2020";"Rijssen-Holten";38177;14326;2,63;69,1;16635
"2020";"Rijswijk";54450;26470;2,02;49,1;0
"2020";"Roden";;;;;
"2020";"Roerdalen";20574;9362;2,16;74,2;4920
"2020";"Roermond";58260;28005;2,05;54,8;1175
"2020";"Roggel en Neer";;;;;
"2020";"Rolde";;;;;
"2020";"De Ronde Venen";44456;19125;2,31;65,9;20790
"2020";"Roosendaal";77251;35293;2,15;62,3;7061
"2020";"Roosendaal en Nispen";;;;;
"2020";"Rosmalen";;;;;
"2020";"Rossum";;;;;
"2020";"Rotterdam";651157;328283;1,95;35,1;445
"2020";"Rozenburg";;;;;
"2020";"Rozendaal";1704;688;2,48;88,2;0
"2020";"Rucphen";22878;9927;2,28;66;8655
"2020";"Ruinen";;;;;
"2020";"Ruinerwold";;;;;
"2020";"Ruurlo";;;;;
"2020";"Sas van Gent";;;;;
"2020";"Sassenheim";;;;;
"2020";"Schagen";46483;20548;2,23;69,4;10406
"2020";"Scheemda";;;;;
"2020";"Schermer";;;;;
"2020";"Scherpenzeel";9880;3960;2,47;72,5;3450
"2020";"Schiedam";78730;37562;2,07;49,2;175
"2020";"Schiermonnikoog";947;538;1,76;55,5;991
"2020";"Schijndel";;;;;
"2020";"Schinnen";;;;;
"2020";"Schipluiden";;;;;
"2020";"Schoonebeek";;;;;
"2020";"Schoonhoven";;;;;
"2020";"Schoorl";;;;;
"2020";"Schouwen-Duiveland";33839;15518;2,16;66,4;4974
"2020";"Sevenum";;;;;
"2020";"Simpelveld";10555;4939;2,12;63,1;2674
"2020";"Sint Anthonis";11664;4693;2,42;75,6;24452
"2020";"Sint-Michielsgestel";29208;11992;2,4;74,9;10458
"2020";"Sint-Oedenrode";;;;;
"2020";"Sittard";;;;;
"2020";"Sittard-Geleen";92429;45137;2,01;58,2;2043
"2020";"Skarsterlân";;;;;
"2020";"Sleen";;;;;
"2020";"Sliedrecht";25220;10430;2,33;57,1;479
"2020";"Slochteren";;;;;
"2020";"Sluis";23210;11278;2,04;65,9;6984
"2020";"Sluis-Aardenburg";;;;;
"2020";"Smallingerland";56150;25025;2,18;59,8;16319
"2020";"Smilde";;;;;
"2020";"Sneek";;;;;
"2020";"Soest";46606;20636;2,24;64,1;1227
"2020";"Someren";19368;8188;2,33;72,2;17079
"2020";"Son en Breugel";17322;7264;2,35;74,5;1329
"2020";"Spijkenisse";;;;;
"2020";"Sprang-Capelle";;;;;
"2020";"St. Anthonis";;;;;
"2020";"Stad Delden";;;;;
"2020";"Stadskanaal";31686;14594;2,14;59,5;3819
"2020";"Standdaarbuiten";;;;;
"2020";"Staphorst";17145;5962;2,86;77,4;34882
"2020";"Stede Broec";21726;9161;2,34;69,6;162
"2020";"Steenbergen";24416;11255;2,14;69,7;4564
"2020";"Steenderen";;;;;
"2020";"Steenwijk";;;;;
"2020";"Steenwijkerland";44126;19361;2,25;64,6;37752
"2020";"Stein (L.)";25007;11606;2,14;71,7;1135
"2020";"Stichtse Vecht";64931;28236;2,28;64,9;14418
"2020";"Stramproy";;;;;
"2020";"Strijen";;;;;
"2020";"Súdwest-Fryslân";89987;39929;2,21;65,1;105235
"2020";"Susteren";;;;;
"2020";"Swalmen";;;;;
"2020";"Tegelen";;;;;
"2020";"Terheijden";;;;;
"2020";"Terneuzen";54426;25688;2,09;68,2;5950
"2020";"Terschelling";4888;2550;1,88;64;1637
"2020";"Teteringen";;;;;
"2020";"Texel";13575;6414;2,07;67;8735
"2020";"Teylingen";37440;15871;2,33;65,1;1499
"2020";"Tholen";25757;10503;2,43;70,2;4015
"2020";"Thorn";;;;;
"2020";"Tiel";42159;18726;2,22;56,7;1601
"2020";"Tilburg";219789;108875;1,98;50,4;4187
"2020";"Tubbergen";21275;8159;2,58;71,4;40138
"2020";"Twenterand";33743;13184;2,53;65,5;20733
"2020";"Tynaarlo";33887;14306;2,3;76,5;13083
